PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,PassengerGroup,CabinDeck,CabinNum,CabinSide,LastName
0,1.0,0.0,2.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,5252.0,0,0,1.0,0.0,0.0,1431.0
1,0.0,0.0,2.0,24.0,0.0,109.0,9.0,25.0,456.0,44.0,4502.0,1,1,5.0,0.0,1.0,2109.0
2,1.0,0.0,2.0,58.0,1.0,43.0,1206.0,0.0,1273.0,49.0,457.0,0,2,0.0,0.0,1.0,1990.0
3,1.0,0.0,2.0,33.0,0.0,0.0,806.0,332.0,1132.0,187.0,7149.0,0,2,0.0,0.0,1.0,1990.0
4,0.0,0.0,2.0,16.0,0.0,277.0,69.0,149.0,470.0,2.0,8319.0,1,3,5.0,1.0,1.0,1778.0
5,0.0,0.0,1.0,44.0,0.0,0.0,393.0,0.0,272.0,0.0,6878.0,1,4,5.0,0.0,0.0,977.0
6,0.0,0.0,2.0,26.0,0.0,42.0,891.0,3.0,0.0,0.0,1155.0,1,5,5.0,931.0,1.0,1080.0
7,0.0,1.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,,1453.0,1,5,6.0,0.0,1.0,1080.0
8,0.0,0.0,2.0,35.0,0.0,0.0,599.0,17.0,208.0,0.0,556.0,1,6,5.0,1042.0,1.0,168.0
9,1.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2864.0,1,7,1.0,1.0,0.0,719.0
10,1.0,1.0,2.0,34.0,0.0,0.0,0.0,,0.0,0.0,453.0,1,7,1.0,1.0,0.0,719.0
11,1.0,0.0,0.0,45.0,0.0,39.0,1405.0,486.0,109.0,122.0,8255.0,1,7,1.0,1.0,0.0,719.0
12,2.0,0.0,2.0,32.0,0.0,73.0,0.0,809.0,0.0,112.0,1084.0,1,8,5.0,1.0,0.0,122.0
13,0.0,0.0,2.0,48.0,0.0,582.0,1.0,65.0,0.0,24.0,6576.0,0,9,6.0,1.0,1.0,97.0
14,0.0,0.0,2.0,28.0,0.0,8.0,713.0,12.0,2.0,7.0,2699.0,1,10,5.0,931.0,0.0,167.0
15,0.0,0.0,2.0,31.0,0.0,32.0,0.0,705.0,0.0,0.0,4535.0,0,11,,,,1573.0
16,2.0,0.0,0.0,27.0,0.0,900.0,117.0,,0.0,0.0,3060.0,0,12,5.0,1042.0,0.0,636.0
17,0.0,0.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,533.0,1548.0,0,13,5.0,1153.0,0.0,1027.0
18,2.0,1.0,2.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,1,14,5.0,1264.0,0.0,2088.0
19,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5172.0,1,15,6.0,0.0,0.0,251.0
20,0.0,0.0,0.0,14.0,0.0,353.0,0.0,1.0,0.0,561.0,6244.0,0,15,5.0,1375.0,0.0,251.0
21,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,0,16,4.0,0.0,1.0,238.0
22,0.0,1.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,3371.0,0,16,4.0,0.0,1.0,238.0
23,0.0,1.0,0.0,29.0,0.0,0.0,0.0,,0.0,0.0,5676.0,0,16,4.0,0.0,1.0,1262.0
24,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1343.0,1,16,4.0,0.0,1.0,1082.0
25,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,5239.0,0,16,4.0,0.0,1.0,238.0
26,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7606.0,0,16,4.0,0.0,1.0,1262.0
27,2.0,0.0,2.0,21.0,0.0,756.0,2.0,68.0,0.0,0.0,,0,17,3.0,0.0,0.0,
28,1.0,1.0,2.0,62.0,0.0,0.0,0.0,,0.0,0.0,6208.0,1,18,2.0,931.0,1.0,797.0
29,0.0,0.0,2.0,15.0,0.0,0.0,209.0,0.0,747.0,0.0,4561.0,0,19,5.0,1375.0,1.0,257.0
30,1.0,0.0,0.0,34.0,0.0,22.0,1368.0,0.0,874.0,292.0,664.0,0,20,2.0,0.0,0.0,2066.0
31,2.0,0.0,2.0,43.0,0.0,824.0,0.0,134.0,48.0,0.0,1627.0,0,21,5.0,1596.0,0.0,1236.0
32,0.0,0.0,2.0,32.0,0.0,0.0,646.0,80.0,379.0,391.0,3355.0,0,22,6.0,1153.0,1.0,1369.0
33,2.0,0.0,2.0,47.0,0.0,205.0,0.0,885.0,0.0,818.0,1900.0,1,23,5.0,1707.0,0.0,541.0
34,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1780.0,1,23,5.0,1707.0,0.0,541.0
35,2.0,0.0,2.0,20.0,0.0,,0.0,951.0,743.0,0.0,2367.0,1,23,5.0,1707.0,0.0,541.0
36,1.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,8451.0,1,24,3.0,1.0,1.0,1439.0
37,2.0,0.0,0.0,23.0,0.0,633.0,707.0,0.0,731.0,0.0,5147.0,0,25,3.0,1.0,0.0,306.0
38,0.0,0.0,0.0,15.0,,0.0,401.0,48.0,20.0,352.0,5336.0,0,26,5.0,1596.0,1.0,1187.0
39,0.0,0.0,0.0,20.0,0.0,459.0,183.0,0.0,1068.0,0.0,5046.0,0,27,5.0,2.0,1.0,2164.0
